county,fips,cases,deaths,latitude,longitude
Appling,13001,14.0,0.0,31.76,-82.35
Atkinson,13003,2.0,0.0,31.27,-82.73
Bacon,13005,14.0,0.0,31.54,-82.47
Baker,13007,16.0,2.0,31.3,-84.37
Baldwin,13009,90.0,2.0,32.99,-83.29
Banks,13011,8.0,0.0,34.48,-83.53
Barrow,13013,66.0,3.0,34.01,-83.83
Bartow,13015,235.0,17.0,34.36,-84.91
Ben Hill,13017,10.0,0.0,31.7,-83.25
Berrien,13019,8.0,0.0,31.38,-83.22
Bibb,13021,95.0,1.0,32.76,-83.86
Bleckley,13023,3.0,0.0,32.38,-83.35
Brantley,13025,13.0,1.0,31.18,-82.13
Bryan,13029,30.0,2.0,32.12,-81.48
Bulloch,13031,22.0,1.0,32.38,-81.66
Burke,13033,28.0,2.0,33.04,-81.70999999999998
Butts,13035,36.0,0.0,33.25,-83.89
Calhoun,13037,58.0,2.0,31.41,-84.69
Camden,13039,23.0,0.0,30.8,-81.53
Candler,13043,4.0,0.0,32.39,-82.06
Carroll,13045,237.0,6.0,33.53,-85.25
Catoosa,13047,17.0,0.0,34.89,-85.12
Charlton,13049,4.0,0.0,30.83,-82.0
Chatham,13051,160.0,5.0,32.1,-81.25
Chattahoochee,13053,5.0,0.0,32.3,-84.77
Chattooga,13055,8.0,1.0,34.4,-85.4
Cherokee,13057,225.0,8.0,34.05,-84.67
Clarke,13059,98.0,12.0,33.95,-83.39
Clay,13061,16.0,2.0,31.55,-84.86
Clayton,13063,456.0,13.0,33.52,-84.35
Clinch,13065,7.0,0.0,31.07,-82.64
Cobb,13067,924.0,43.0,33.95,-84.54
Coffee,13069,65.0,3.0,31.59,-83.01
Colquitt,13071,89.0,5.0,31.06,-83.62
Columbia,13073,78.0,0.0,33.6,-82.31
Cook,13075,8.0,0.0,31.13,-83.42
Coweta,13077,136.0,3.0,33.23,-84.82
Crawford,13079,10.0,0.0,32.63,-83.96
Crisp,13081,88.0,1.0,31.96,-83.77
Dade,13083,3.0,1.0,34.81,-85.5
Dawson,13085,37.0,2.0,34.42,-84.11
Decatur,13087,47.0,0.0,30.74,-84.47
Dodge,13091,17.0,0.0,32.1,-83.06
Dooly,13093,52.0,3.0,32.2,-83.9
Dougherty,13095,,83.0,31.57,-84.17
Douglas,13097,197.0,6.0,33.77,-84.64
Early,13099,141.0,6.0,31.33,-84.94
Echols,13101,3.0,0.0,30.7,-83.03
Effingham,13103,25.0,1.0,32.11,-81.3
Elbert,13105,7.0,0.0,34.2,-83.02
Emanuel,13107,9.0,0.0,32.59,-82.33
Evans,13109,2.0,0.0,32.15,-81.97
Fannin,13111,14.0,0.0,34.86,-84.32
Fayette,13113,120.0,5.0,33.29,-84.45
Floyd,13115,120.0,6.0,34.47,-85.21
Forsyth,13117,153.0,5.0,34.2,-84.13
Franklin,13119,7.0,0.0,34.36,-83.23
Fulton,13121,,62.0,34.06,-84.27
Gilmer,13123,7.0,0.0,34.78,-84.45
Glynn,13127,41.0,0.0,31.15,-81.48
Gordon,13129,46.0,3.0,34.44,-84.7
Grady,13131,21.0,1.0,30.97,-84.2
Greene,13133,34.0,1.0,33.57,-83.18
Gwinnett,13135,852.0,29.0,33.94,-84.2
Habersham,13137,29.0,1.0,34.47,-83.57
Hall,13139,374.0,1.0,34.29,-83.83
Hancock,13141,5.0,0.0,33.27,-82.97
Haralson,13143,19.0,1.0,33.7,-85.15
Harris,13145,25.0,1.0,32.66,-84.88
Hart,13147,5.0,0.0,34.37,-83.08
Heard,13149,5.0,1.0,33.28,-85.09
Henry,13151,321.0,5.0,33.38,-84.28
Houston,13153,142.0,9.0,32.5,-83.56
Irwin,13155,12.0,0.0,31.64,-83.38
Jackson,13157,33.0,1.0,34.1,-83.78
Jasper,13159,10.0,0.0,33.51,-83.69
Jeff Davis,13161,2.0,0.0,31.72,-82.69
Jefferson,13163,7.0,1.0,32.88,-82.47
Jenkins,13165,12.0,1.0,32.65,-82.09
Johnson,13167,21.0,1.0,32.69,-82.51
Jones,13169,15.0,0.0,33.0,-83.53
Lamar,13171,21.0,0.0,33.05,-84.15
Lanier,13173,5.0,1.0,31.04,-83.07
Laurens,13175,35.0,1.0,32.36,-82.74
Liberty,13179,26.0,0.0,31.78,-81.59999999999998
Lincoln,13181,9.0,0.0,33.79,-82.47
Long,13183,2.0,0.0,31.71,-81.73999999999998
Lowndes,13185,75.0,3.0,30.84,-83.27
Lumpkin,13187,11.0,0.0,34.53,-83.98
McDuffie,13189,30.0,2.0,33.42,-82.43
Madison,13195,13.0,1.0,34.03,-83.21
Marion,13197,17.0,0.0,32.5,-84.37
Meriwether,13199,26.0,0.0,33.09,-84.57
Miller,13201,15.0,0.0,31.15,-84.67
Mitchell,13205,172.0,20.0,31.37,-84.16
Monroe,13207,13.0,1.0,32.95,-83.81
Montgomery,13209,2.0,0.0,32.18,-82.57
Morgan,13211,15.0,0.0,33.73,-83.51
Murray,13213,17.0,0.0,34.77,-84.77
Muscogee,13215,177.0,4.0,32.58,-84.84
Newton,13217,104.0,3.0,33.6,-83.85
Oconee,13219,43.0,0.0,33.81,-83.43
Oglethorpe,13221,19.0,1.0,33.91,-83.21
Paulding,13223,117.0,5.0,33.91,-84.83
Peach,13225,24.0,2.0,32.65,-83.75
Pickens,13227,14.0,2.0,34.46,-84.42
Pierce,13229,47.0,2.0,31.29,-82.24
Pike,13231,25.0,1.0,33.09,-84.43
Polk,13233,27.0,0.0,34.04,-85.05
Pulaski,13235,11.0,1.0,32.28,-83.47
Putnam,13237,12.0,0.0,33.32,-83.38
Quitman,13239,3.0,1.0,31.85,-85.04
Rabun,13241,7.0,0.0,34.87,-83.4
Randolph,13243,131.0,7.0,31.66,-84.87
Richmond,13245,168.0,8.0,33.29,-82.19
Rockdale,13247,107.0,6.0,33.66,-84.01
Schley,13249,13.0,1.0,32.23,-84.3
Screven,13251,9.0,1.0,32.57,-81.70999999999998
