county, CASES, DEATHS,latitude,longitude
Fulton,"1,844",62.0,34.06,-84.27
Dougherty,"1,308",83.0,31.57,-84.17
DeKalb,"1,191",15.0,33.76,-84.26
Cobb,924,43.0,33.95,-84.54
Gwinnett,852,29.0,33.94,-84.2
Clayton,456,13.0,33.52,-84.35
Hall,374,1.0,34.29,-83.83
Henry,321,5.0,33.38,-84.28
Sumter,273,12.0,32.07,-84.22
Lee,264,15.0,31.73,-84.17
Carroll,237,6.0,33.53,-85.25
Bartow,235,17.0,34.36,-84.91
Cherokee,225,8.0,34.05,-84.67
Douglas,197,6.0,33.77,-84.64
Muscogee,177,4.0,32.58,-84.84
Mitchell,172,20.0,31.37,-84.16
Richmond,168,8.0,33.29,-82.19
Chatham,160,5.0,32.1,-81.25
Forsyth,153,5.0,34.2,-84.13
Houston,142,9.0,32.5,-83.56
Early,141,6.0,31.33,-84.94
Coweta,136,3.0,33.23,-84.82
Terrell,135,11.0,31.82,-84.32
Upson,135,5.0,32.96,-84.24
Randolph,131,7.0,31.66,-84.87
Fayette,120,5.0,33.29,-84.45
Floyd,120,6.0,34.47,-85.21
Paulding,117,5.0,33.91,-84.83
Rockdale,107,6.0,33.66,-84.01
Newton,104,3.0,33.6,-83.85
Worth,104,4.0,31.77,-83.97
Clarke,98,12.0,33.95,-83.39
Bibb,95,1.0,32.76,-83.86
Thomas,92,9.0,30.79,-83.79
Baldwin,90,2.0,32.99,-83.29
Spalding,90,4.0,33.27,-84.27
Colquitt,89,5.0,31.06,-83.62
Crisp,88,1.0,31.96,-83.77
Columbia,78,0.0,33.6,-82.31
Lowndes,75,3.0,30.84,-83.27
Tift,74,1.0,31.41,-83.39
Troup,68,4.0,33.16,-84.9
Barrow,66,3.0,34.01,-83.83
Ware,66,4.0,31.21,-82.35
Coffee,65,3.0,31.59,-83.01
Calhoun,58,2.0,31.41,-84.69
Dooly,52,3.0,32.2,-83.9
Walton,52,3.0,33.71,-83.8
Decatur,47,0.0,30.74,-84.47
Macon,47,0.0,32.37,-84.18
Pierce,47,2.0,31.29,-82.24
Gordon,46,3.0,34.44,-84.7
Oconee,43,0.0,33.81,-83.43
Glynn,41,0.0,31.15,-81.48
Turner,41,1.0,31.7,-83.65
Dawson,37,2.0,34.42,-84.11
Butts,36,0.0,33.25,-83.89
Laurens,35,1.0,32.36,-82.74
Greene,34,1.0,33.57,-83.18
Jackson,33,1.0,34.1,-83.78
Whitfield,31,3.0,34.95,-84.95
Bryan,30,2.0,32.12,-81.48
McDuffie,30,2.0,33.42,-82.43
Habersham,29,1.0,34.47,-83.57
Wilcox,29,0.0,31.99,-83.3
Burke,28,2.0,33.04,-81.70999999999998
Polk,27,0.0,34.04,-85.05
Liberty,26,0.0,31.78,-81.59999999999998
Meriwether,26,0.0,33.09,-84.57
Effingham,25,1.0,32.11,-81.3
Harris,25,1.0,32.66,-84.88
Pike,25,1.0,33.09,-84.43
Peach,24,2.0,32.65,-83.75
Stephens,24,0.0,34.49,-83.25
Camden,23,0.0,30.8,-81.53
Bulloch,22,1.0,32.38,-81.66
Washington,22,0.0,32.98,-82.6
Brooks,21,1.0,31.0,-83.51
Grady,21,1.0,30.97,-84.2
Johnson,21,1.0,32.69,-82.51
Lamar,21,0.0,33.05,-84.15
Haralson,19,1.0,33.7,-85.15
Oglethorpe,19,1.0,33.91,-83.21
Catoosa,17,0.0,34.89,-85.12
Dodge,17,0.0,32.1,-83.06
Marion,17,0.0,32.5,-84.37
Murray,17,0.0,34.77,-84.77
Baker,16,2.0,31.3,-84.37
Clay,16,2.0,31.55,-84.86
Seminole,16,1.0,31.04,-84.87
