State,tot_cases,tot_deaths,act_cases,tests,code
Alabama,"4,241 ",123 ,"4,098 ","7,005",AL
Alaska,293 ,9 ,178 ,"11,487",AK
Arizona,"3,962 ",142 ,"3,750 ","6,523",AZ
Arkansas,"1,599 ",34 ,"1,056 ","7,453",AR
California,"26,838 ",864 ,"24,624 ","5,502",CA
Colorado,"8,280 ",357 ,"7,425 ","7,328",CO
Connecticut,"14,755 ",868 ,"13,822 ","14,001",CT
Delaware,"2,014 ",46 ,"1,614 ","13,799",DE
Florida,"22,519 ",614 ,"21,261 ","10,446",FL
Georgia,"15,260 ",576 ,"14,653 ","6,225",GA
Hawaii,530 ,9 ,162 ,"14,635",HI
Idaho,"1,587 ",41 ,"1,522 ","9,123",ID
Illinois,"24,593 ",948 ,"23,595 ","9,120",IL
Indiana,"8,955 ",436 ,"8,505 ","7,291",IN
Iowa,"1,995 ",53 ,"1,201 ","6,343",IA
Kansas,"1,494 ",76 ,"1,178 ","5,043",KS
Kentucky,"2,291 ",122 ,"1,863 ","6,379",KY
Louisiana,"21,951 ","1,103 ","20,798 ","26,145",LA
Maine,770 ,24 ,441 ,"11,139",ME
Maryland,"10,032 ",349 ,"9,076 ","9,289",MD
Massachusetts,"29,918 ","1,108 ","28,081 ","19,329",MA
Michigan,"28,059 ","1,921 ","25,695 ","9,288",MI
Minnesota,"1,809 ",87 ,782 ,"7,281",MN
Mississippi,"3,360 ",122 ,"3,238 ","12,638",MS
Missouri,"4,895 ",159 ,"4,552 ","8,014",MO
Montana,404 ,7 ,188 ,"9,199",MT
Nebraska,952 ,21 ,909 ,"6,470",NE
Nevada,"3,211 ",136 ,"1,906 ","11,440",NV
New Hampshire,"1,139 ",32 ,742 ,"9,055",NH
New Jersey,"71,030 ","3,156 ","66,603 ","16,510",NJ
New Mexico,"1,484 ",36 ,"1,153 ","15,959",NM
New York,"214,648 ","11,586 ","179,175 ","26,812",NY
North Carolina,"5,381 ",132 ,"4,366 ","6,679",NC
North Dakota,365 ,9 ,214 ,"15,045",ND
Ohio,"7,791 ",361 ,"7,310 ","6,146",OH
Oklahoma,"2,263 ",123 ,985 ,"7,426",OK
Oregon,"1,663 ",58 ,"1,605 ","8,170",OR
Pennsylvania,"26,753 ",779 ,"25,324 ","10,756",PA
Rhode Island,"3,529 ",87 ,"3,432 ","24,509",RI
South Carolina,"3,656 ",107 ,"3,549 ","7,008",SC
South Dakota,"1,168 ",6 ,833 ,"11,407",SD
Tennessee,"6,079 ",135 ,"3,748 ","12,163",TN
Texas,"16,009 ",375 ,"12,484 ","5,444",TX
Utah,"2,542 ",20 ,"2,304 ","15,635",UT
Vermont,759 ,30 ,729 ,"17,730",VT
Virginia,"6,500 ",195 ,"5,584 ","5,250",VA
Washington,"10,910 ",567 ,"8,865 ","16,842",WA
West Virginia,718 ,12 ,559 ,"9,743",WV
Wisconsin,"3,721 ",182 ,"3,452 ","7,450",WI
Wyoming,288 ,2 ,110 ,"10,534",WY
